blue,brightness,green,greenness,landcover,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
431,2902.08,657,1820.4139,agriculture,0.3536539,0.2355279,0.697934,3575,636,2212,1707,-743.172
287,3000.0379,621,2384.0476,agriculture,0.5567271,0.24276094,0.79218256,3691,428,2249,1051,-617.7415
313,2781.0027,841,1667.4708,agriculture,0.5347695,0.31445217,0.76144004,4061,550,2118,1231,-685.1369
235.5,2800.2406,496.5,1759.5653,agriculture,0.7007392,0.42973813,0.8585276,4026.5,306.5,1606,708.5,-684.8468
399,3170.2676,784,1836.6947,agriculture,0.3576821,0.10074442,0.6511166,3327,703,2718,1574,-899.9861
309,3184.9663,600,2294.0441,agriculture,0.4708538,0.19012827,0.7080275,3665,626.5,2494,1318.5,-863.3762
280,3312.7037,568,2291.8899,agriculture,0.5881949,0.24833663,0.84186786,3471,298,2090,900,-909.1413
263,1545.3952,503,486.4193,agriculture,0.73220277,0.45446455,0.8778246,4903,319,1839,758,-266.2196
267,2961.4272,757.5,1849.6887,agriculture,0.7771686,0.5244814,0.8986182,6320.5,337.5,1971.5,792.5,-780.2753
205.5,2853.0712,496,1735.2742,agriculture,0.73503137,0.47523233,0.8826441,4564,284.5,1623.5,697,-721.9106
367,1453.4119,640,391.4882,agriculture,0.40896654,0.11585264,0.71289665,3347,561,2652,1404,-231.0933
195,2976.6753,441,1850.8217,agriculture,0.7464503,0.48602003,0.88443863,4305,264,1489,625,-790.243
408,2979.8025,958,1856.3763,agriculture,0.55953276,0.27668107,0.7256619,4139,658,2345,1169,-791.8025
352,1496.8523,635,542.967,agriculture,0.42664763,0.16184779,0.7179361,3496,574,2522,1405,-267.5793
203,2993.9241,411,1857.2087,agriculture,0.7482431,0.49171075,0.88836795,4229,250,1441,609,-802.2398
270.5,3082.444,954,1800.1296,agriculture,0.67747706,0.40633732,0.81496793,5159.5,526,2178,992,-849.2897
209,1384.129,534,466.7755,agriculture,0.73958904,0.44610733,0.9082386,4783,230,1832,716,-224.5575
366.5,3202.7524,696.5,2440.3416,agriculture,0.48913363,0.20352867,0.7183986,3820,626,2528,1310.5,-750.0417
500,2308.4465,718,1616.5018,agriculture,0.061864175,-0.12604661,0.42719883,1931,775,2488,1706,-573.7992
307,2969.368,729,1854.9677,agriculture,0.71703815,0.4654024,0.88018787,6104.5,389,2227,1006,-785.2171
471,1325.7869,819,388.3815,agriculture,0.35358682,0.07889392,0.61998594,3453,810,2948,1649,-204.1555
682.5,1590.1864,1063,727.9758,agriculture,0.31228408,0.13825785,0.59340554,4083.5,1042,3091.5,2140,-285.0959
337,3273.2226,698,2040.0112,agriculture,0.57479364,0.25011986,0.78625256,3911,468,2346,1056,-1005.5701
267,1311.9581,625,379.701,agriculture,0.65847254,0.37663552,0.84586465,4419,369,2001,910,-198.9439
113,1558.5556,291,699.1772,agriculture,0.7087422,0.4202039,0.82733124,1915.5,181,782,326.5,-268.9879
323,3220.2477,743,1854.9983,agriculture,0.7534404,0.48105097,0.9008547,6116,319,2143,860,-925.1678
346.5,2840.6312,760,1705.3877,agriculture,0.4659557,0.22156712,0.74767727,3574,516,2277.5,1302,-716.8551
427,3120.8649,779,1791.2846,agriculture,0.6093587,0.35285547,0.82149863,4643,455,2221,1127,-856.2538
268.5,3095.7398,846.5,1797.793,agriculture,0.67992437,0.41878408,0.86777586,5332.5,377.5,2184.5,1016,-854.3334
323,3159.3539,697,1954.8433,agriculture,0.53679746,0.30699855,0.7472872,3623,524,1921,1092,-923.5291
422,3147.5419,980,1826.1825,agriculture,0.62445414,0.32664114,0.74012476,5022,750,2549,1161,-885.9226
288,2906.2263,770,1843.7572,agriculture,0.7407516,0.4706685,0.8897211,5929,346,2134,883,-741.6728
301,2989.8644,752.5,1852.0965,agriculture,0.7486104,0.4666501,0.89464384,5898.5,328,2145,848,-800.2333
353,3233.7475,680,1908.6125,agriculture,0.44227505,0.15558578,0.725311,3398,541,2483,1314,-996.1674
269,3243.0612,766,1858.9764,agriculture,0.7452843,0.48649293,0.8973191,6245.5,338,2157.5,911.5,-927.6087
312,1507.2798,639.5,426.0655,agriculture,0.47280884,0.19326241,0.72674793,3365,532.5,2275,1204.5,-245.6574
425.5,2940.4739,768.5,1819.6922,agriculture,0.5153517,0.26130205,0.7856652,3899,468,2283.5,1247,-770.218
337,2813.1517,880,1705.4956,agriculture,0.5619363,0.30113462,0.77829003,4243,529,2279,1190,-700.5878
442,3013.06,750,2250.2611,agriculture,0.31957498,0.033610754,0.6438844,3229,699.5,3019,1665,-736.1328
498,1932.2525,961,716.3775,agriculture,0.37861764,0.17977856,0.65400326,4049,847,2815,1825,-348.985
350,2816.9854,896,1709.4807,agriculture,0.58960515,0.32769555,0.7770232,4710,591,2385,1216,-702.475
356,2986.3865,865.5,1861.4993,agriculture,0.57470477,0.29429695,0.7476443,4034,582.5,2199.5,1089.5,-796.603
272,1324.1204,631,363.8241,agriculture,0.57271904,0.31470644,0.7697586,3482,453,1815,946,-202.2335
251,3244.4904,762.5,1859.6254,agriculture,0.7507522,0.48857686,0.89373296,6255,351,2149,890.5,-929.4214
341,3161.1123,645,1947.7926,agriculture,0.5131632,0.27595627,0.7681022,3736,490,2120,1202,-925.9201
