blue,brightness,green,greenness,landcover,latitude,longitude,nbr,ndmi,ndvi,nir,red,swir1,swir2,wetness
170,562.7431,414,-160.7082,1,40.56247653,-105.0268147,0.26739928,0.18900344,-0.16826923,173,243,118,100,71.4377
429,1581.4117,607,-181.1669,1,39.75532103,-105.1385653,-0.1357191,-0.16720885,0.028938906,640,604,897,841,-667.7355
927,4490.6099,1592,165.4593,1,40.18760208,-105.0305431,0.2850217,0.05598658,0.12561466,2518,1956,2251,1401,-968.7912
244,702.9588,451,-195.5887,1,40.40473625,-104.0764157,0.22702703,0.16709511,-0.19787987,227,339,162,143,65.1863
857,4274.4383,1387,79.3796,1,40.20578488,-104.7844963,0.058907703,-0.07730673,0.15085536,2220,1638,2592,1973,-1740.8555
130,387.2879,234,-118.9716,1,40.27498332,-104.1438167,0.025906736,-0.06603774,-0.25,99,165,113,94,2.8757
1177,5182.9695,1513,9.5139,1,40.35243108,-103.9944649,-0.05740842,-0.11890971,0.1516366,2586,1905,3284,2901,-2594.9401
768,1469.1887,1352,-906.7712,1,40.38456123,-105.1356049,0.28695652,0.17928287,-0.72968036,148,947,103,82,528.9821
646,1146.3992,975,-617.3281,1,40.07387334,-105.2215376,0.13993174,0.070512824,-0.5911873,167,650,145,126,298.8198
106,319.3498,206,-115.0017,1,40.34550357,-104.2580802,0.07936508,-0.035460994,-0.35545024,68,143,73,58,32.7186
261,589.6923,433,-290.7411,1,40.57058464,-105.0264635,-0.016393442,-0.1,-0.5744681,90,333,110,93,103.5979
316,723.7351,510,-289.3343,1,41.15582679,-104.8268242,0.028571429,-0.021148037,-0.3816794,162,362,169,153,65.9479
213,521.3308,285,-121.7215,1,40.32821134,-105.2213076,0.062893085,-0.014577259,-0.09866667,169,206,174,149,-33.9419
1488,7143.6818,2100,8.6482,1,40.78943308,-105.1243353,-0.04200323,-0.13049853,0.13619672,3558,2705,4626,3870,-3547.0358
395,813.9757,781,-531.0869,1,40.22402503,-105.1268217,-0.2631579,-0.2293578,-0.84299064,42,493,67,72,266.0054
215,570.5393,368,-155.9228,1,39.94732764,-104.7544053,0.16065574,0.09259259,-0.1591449,177,244,147,128,27.2911
304,587.7486,467,-237.9629,1,40.85246622,-105.027999,0.13122173,0.028806584,-0.32795697,125,247,118,96,83.104
287,813.8508,586,-344.2626,1,40.77300306,-105.0510728,0.053892214,0.014409222,-0.44391784,176,457,171,158,108.8741
590,3453.7332,929,127.1326,1,40.32177669,-103.9218266,-0.051919956,-0.17252773,0.19740437,1753,1175,2484,1945,-1977.0891
692,3478.3238,981,209.1902,1,40.41612722,-104.604547,0.022621969,-0.0993759,0.22574322,1876,1185,2290,1793,-1717.4995
974,4601.9655,1288,124.1116,1,39.785211,-105.2136019,0.002132196,-0.14529915,0.17031872,2350,1666,3149,2340,-2326.9264
253,529.4034,466,-266.122,1,40.54382523,-104.9630367,-0.013888889,-0.101265825,-0.5477707,71,243,87,73,106.0436
99,311.6882,202,-111.8406,1,40.26882013,-104.1887045,-0.06666667,-0.13103448,-0.34375,63,129,82,72,11.8719
962,4954.4125,1422,71.1039,1,40.2795901,-104.6762757,-0.06611879,-0.12785627,0.16740602,2500,1783,3233,2854,-2610.469
365,1668.702,708,-192.1094,1,40.35675892,-104.7306682,0.17310664,0.10239651,-0.06411837,759,863,618,535,-173.327
371,1537.4374,584,-138.0522,1,40.30709542,-104.2535582,0.05263158,-0.07420014,7.36E-04,680,679,789,612,-431.3911
155,431.9134,255,-129.5003,1,40.35491466,-104.2505581,0.035714287,-0.041322313,-0.23684211,116,188,126,108,0.787
287,579.1389,386,-183.5399,1,40.37651678,-104.9398038,-0.108359136,-0.18413597,-0.15789473,144,198,209,179,-58.3695
324,1350.9849,657,-191.1121,1,39.63530379,-104.8610918,0.15445544,0.1115348,-0.06043513,583,658,466,427,-109.7107
372,1034.2363,641,-373.7055,1,40.5288077,-104.5266698,0.27114967,0.18864097,-0.3692142,293,636,200,168,172.4368
475,1348.8746,642,-94.5469,1,40.43966832,-104.5389687,0.3406157,0.2652296,0.061320756,675,597,392,332,-4.4901
288,570.3629,461,-234.531,1,40.85462963,-105.0215931,0.059907835,-0.017094018,-0.33908045,115,233,119,102,71.0619
388,629.8899,576,-303.1325,1,40.50653109,-105.0257301,-0.04522613,-0.07317073,-0.42771083,95,237,110,104,101.6854
406,733.7955,678,-386.6871,1,40.41977001,-105.0387813,0.08988764,-0.03,-0.5630631,97,347,103,81,177.7847
365,905.7324,773,-496.1672,1,39.95218227,-105.0111216,0.13761468,0.06896552,-0.6374269,124,560,108,94,256.5827
607,3801.8639,935,302.9289,1,40.33404753,-104.0918603,-0.048711944,-0.17186545,0.27016884,2031,1167,2874,2239,-2376.005
348,555.7083,450,-232.1298,1,39.86372701,-105.1258051,0.068627454,0,-0.31012657,109,207,109,95,72.821
183,504.804,302,-159.8275,1,39.81949722,-105.235441,-0.2777778,-0.29090908,-0.22,117,183,213,207,-108.2777
520,1182.4257,1051,-698.7746,1,40.33625944,-105.019661,0.15879828,0.10655738,-0.7,135,765,109,98,384.0339
674,1003.0454,971,-578.1525,1,40.6378791,-104.9668875,0.13402061,0.062801935,-0.632107,110,488,97,84,297.4208
435,773.4703,728,-442.9756,1,40.4440971,-105.0306589,0.14482759,0.031055901,-0.6591376,83,404,78,62,232.9089
349,870.4462,754,-465.4673,1,40.60949368,-105.0534305,0.18309858,0.09090909,-0.61051005,126,521,105,87,246.2341
104,263.7763,176,-100.4346,1,40.34011352,-105.2160483,-0.09090909,-0.1891892,-0.3617021,45,96,66,54,15.3527
126,378.3361,239,-126.6364,1,40.36252962,-104.2578936,-0.027624309,-0.0974359,-0.2931727,88,161,107,93,5.6626
425,1572.3432,565,-59.2839,1,39.87348925,-104.9076207,0.050578035,-0.137092,0.115030676,727,577,958,657,-599.5506
369,618.1122,603,-354.6916,1,40.42436683,-105.0317109,0.06306306,0,-0.6599424,59,288,59,52,182.9345
345,616.5349,526,-296.0257,1,40.62299467,-105.0754325,0.07103825,-0.024875622,-0.47593582,98,276,103,85,119.0477
209,579.167,450,-239.2524,1,40.61680208,-104.9839218,0.10909091,0.038297873,-0.4004914,122,285,113,98,90.2115
356,942.079,617,-357.9585,1,39.74674507,-105.0454046,0.018018018,-0.09054326,-0.38166896,226,505,271,218,37.5654
460,2270.6774,784,-19.0907,1,40.07465787,-105.23491,0.11741293,-0.1016,0.104228124,1123,911,1377,887,-805.3465
190,339.3399,270,-127.3448,1,40.19041658,-105.194074,-0.1724138,-0.2356688,-0.15492958,60,82,97,85,-3.6874
232,464.1893,383,-240.8842,1,40.59370595,-105.1697081,-0.14516129,-0.22058824,-0.61172163,53,220,83,71,81.7398
147,420.5848,296,-139.5019,1,39.93789059,-104.7656754,0.13978495,0.06,-0.25614035,106,179,94,80,43.5218
108,348.6843,204,-106.7625,1,40.27730261,-104.165313,-0.06077348,-0.12820514,-0.25438598,85,143,110,96,-12.6286
386,650.5647,490,-244.6285,1,39.8612924,-105.1275543,0.04895105,-0.019607844,-0.24623115,150,248,156,136,45.2774
249,683.2346,441,-192.1365,1,39.9373312,-104.7565478,0.15531336,0.07614213,-0.18773946,212,310,182,155,30.4809
120,368.4123,227,-116.7261,1,40.27938003,-104.1536421,0.005524862,-0.05699482,-0.2631579,91,156,102,90,7.0092
435,754.8614,714,-439.437,1,40.4430138,-105.0380871,0.027777778,-0.013333334,-0.6796537,74,388,76,70,220.1557
894,4236.5469,1303,200.3426,1,40.59551174,-104.7793499,0.13257763,-0.06376044,0.17334695,2298,1619,2611,1760,-1633.1027
75,201.9288,102,-49.712,1,40.21512526,-105.3697204,0.020833334,-0.10091743,-0.0754717,49,57,60,47,-4.7666
804,4751.9162,1184,596.1805,1,40.05025032,-105.1068032,0.12893523,-0.070957094,0.26887536,2815,1622,3245,2172,-2255.4868
4163,10268.3907,4431,-856.3631,1,40.67381514,-105.0563215,0.2591395,0.15422319,0.026249113,5063,4804,3710,2979,-907.1582
